current_path	proposed_path	category	move_priority	notes
aMiLa/amiga_sources/ab3dtrainer	aMiLa/amiga_sources/tools/ab3dtrainer	tools	later	Trainer utility; sample selectively.
aMiLa/amiga_sources/abackup	aMiLa/amiga_sources/applications/abackup	applications	later	Backup application; moderate reference value.
aMiLa/amiga_sources/abacus	aMiLa/amiga_sources/applications/abacus	applications	later	Application archive; moderate reference value.
aMiLa/amiga_sources/ace	aMiLa/amiga_sources/libraries/ace	libraries	later	Amiga C Engine; useful as a game/framework reference.
aMiLa/amiga_sources/aegisanimator	aMiLa/amiga_sources/applications/aegisanimator	applications	later	Larger application/archive; targeted use only.
aMiLa/amiga_sources/agj2024-bs2	aMiLa/amiga_sources/games/agj2024-bs2	games	later	Game-jam style source; inspect before training.
aMiLa/amiga_sources/ambermoon	aMiLa/amiga_sources/games/ambermoon	games	later	Large game archive; targeted use only.
aMiLa/amiga_sources/ami-dwn-under	aMiLa/amiga_sources/applications/ami-dwn-under	applications	later	Application/archive with minimal visible metadata.
aMiLa/amiga_sources/amiftp	aMiLa/amiga_sources/applications/amiftp	applications	later	FTP client application; sample selectively.
aMiLa/amiga_sources/amiga	aMiLa/amiga_sources/reference/amiga	reference	later	General Amiga reference/source collection.
aMiLa/amiga_sources/amiga-asmdev-workflow	aMiLa/amiga_sources/learning/amiga-asmdev-workflow	learning	first	Assembly workflow example with Makefile.
aMiLa/amiga_sources/amiga-assembler	aMiLa/amiga_sources/learning/amiga-assembler	learning	first	Small assembly lessons; high-value first-pass corpus.
aMiLa/amiga_sources/amiga-c	aMiLa/amiga_sources/learning/amiga-c	learning	first	C examples; preferred training source.
aMiLa/amiga_sources/amiga-c-tutorials	aMiLa/amiga_sources/learning/amiga-c-tutorials	learning	first	C tutorials; preferred training source.
aMiLa/amiga_sources/amiga-dev	aMiLa/amiga_sources/learning/amiga-dev	learning	first	Development notes/examples; preferred training source.
aMiLa/amiga_sources/amiga-examples	aMiLa/amiga_sources/learning/amiga-examples	learning	first	Examples with Makefile; preferred corpus.
aMiLa/amiga_sources/amiga-game-prog	aMiLa/amiga_sources/learning/amiga-game-prog	learning	first	Game programming lessons/examples.
aMiLa/amiga_sources/amiga-game-selector	aMiLa/amiga_sources/applications/amiga-game-selector	applications	later	Focused selector utility; likely useful project corpus.
aMiLa/amiga_sources/amiga-gpt	aMiLa/amiga_sources/applications/amiga-gpt	applications	later	Modern Amiga app with Makefile; useful runnable project.
aMiLa/amiga_sources/amiga-hardware-in-c	aMiLa/amiga_sources/learning/amiga-hardware-in-c	learning	first	Hardware programming in C; preferred corpus.
aMiLa/amiga_sources/amiga-parcade	aMiLa/amiga_sources/games/amiga-parcade	games	later	Game/project corpus.
