path	category	training_tier	status	notes
aMiLa/amiga_sources/ab3dtrainer	tools	3	imported	Trainer utility; sample selectively.
aMiLa/amiga_sources/abackup	applications	3	imported	Backup application; moderate reference value.
aMiLa/amiga_sources/abacus	applications	3	imported	Application archive; moderate reference value.
aMiLa/amiga_sources/ace	libraries	3	imported	Amiga C Engine; useful as a game/framework reference.
aMiLa/amiga_sources/aegisanimator	applications	4	imported	Larger application/archive; targeted use only.
aMiLa/amiga_sources/agj2024-bs2	games	2	uncurated	Game-jam style source; inspect before training.
aMiLa/amiga_sources/ambermoon	games	4	imported	Large game archive; targeted use only.
aMiLa/amiga_sources/ami-dwn-under	applications	4	uncurated	Application/archive with minimal visible metadata.
aMiLa/amiga_sources/amiftp	applications	4	imported	FTP client application; sample selectively.
aMiLa/amiga_sources/amiga	reference	3	imported	General Amiga reference/source collection.
aMiLa/amiga_sources/amiga-asmdev-workflow	learning	1	curated	Assembly workflow example with Makefile.
aMiLa/amiga_sources/amiga-assembler	learning	1	curated	Small assembly lessons; high-value first-pass corpus.
aMiLa/amiga_sources/amiga-c	learning	1	curated	C examples; preferred training source.
aMiLa/amiga_sources/amiga-c-tutorials	learning	1	curated	C tutorials; preferred training source.
aMiLa/amiga_sources/amiga-dev	learning	1	curated	Development notes/examples; preferred training source.
aMiLa/amiga_sources/amiga-examples	learning	1	curated	Examples with Makefile; preferred corpus.
aMiLa/amiga_sources/amiga-game-prog	learning	1	curated	Game programming lessons/examples.
aMiLa/amiga_sources/amiga-game-selector	applications	2	imported	Focused selector utility; likely useful project corpus.
aMiLa/amiga_sources/amiga-gpt	applications	2	imported	Modern Amiga app with Makefile; useful runnable project.
aMiLa/amiga_sources/amiga-hardware-in-c	learning	1	curated	Hardware programming in C; preferred corpus.
aMiLa/amiga_sources/amiga-parcade	games	2	imported	Game/project corpus.
aMiLa/amiga_sources/amiga-playground	learning	1	curated	Playground examples; preferred training source.
aMiLa/amiga_sources/amiga-programming-examples	learning	1	curated	Programming examples; preferred training source.
aMiLa/amiga_sources/amiga-starfield	asm-demos	2	imported	Compact visual demo; good effects corpus.
aMiLa/amiga_sources/amiga-stuff	reference	3	imported	Mixed source/reference material.
aMiLa/amiga_sources/amigaexamples	learning	1	curated	Example collection; preferred corpus.
aMiLa/amiga_sources/amigaos-cpp-examples	c-examples	1	curated	C++ AmigaOS examples; useful API corpus.
aMiLa/amiga_sources/aminer	applications	4	imported	Larger Amiga application/archive; sample selectively.
aMiLa/amiga_sources/analay	applications	3	imported	Application/archive; moderate reference value.
